"Id","LotFrontage","LotArea","LotShape","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","ExterQual","ExterCond","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","HeatingQC","Electrical","X1stFlrSF","X2ndFlrSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","Fence","MoSold","YrSold","SalePrice","LotFrontage_2","LotArea_2","LotShape_2","OverallQual_2","OverallCond_2","YearBuilt_2","YearRemodAdd_2","MasVnrArea_2","ExterQual_2","ExterCond_2","BsmtQual_2","BsmtExposure_2","BsmtFinType1_2","BsmtFinSF1_2","BsmtUnfSF_2","TotalBsmtSF_2","HeatingQC_2","Electrical_2","X1stFlrSF_2","X2ndFlrSF_2","GrLivArea_2","BsmtFullBath_2","BsmtHalfBath_2","FullBath_2","HalfBath_2","BedroomAbvGr_2","KitchenQual_2","TotRmsAbvGrd_2","Fireplaces_2","FireplaceQu_2","GarageFinish_2","GarageCars_2","GarageArea_2","GarageQual_2","GarageCond_2","PavedDrive_2","WoodDeckSF_2","OpenPorchSF_2","Fence_2","MoSold_2","YrSold_2","LotFrontage_3","LotArea_3","LotShape_3","OverallQual_3","OverallCond_3","YearBuilt_3","YearRemodAdd_3","MasVnrArea_3","ExterQual_3","ExterCond_3","BsmtQual_3","BsmtExposure_3","BsmtFinType1_3","BsmtFinSF1_3","BsmtUnfSF_3","TotalBsmtSF_3","HeatingQC_3","Electrical_3","X1stFlrSF_3","X2ndFlrSF_3","GrLivArea_3","BsmtFullBath_3","FullBath_3","BedroomAbvGr_3","KitchenQual_3","TotRmsAbvGrd_3","Fireplaces_3","FireplaceQu_3","GarageFinish_3","GarageCars_3","GarageArea_3","GarageQual_3","GarageCond_3","WoodDeckSF_3","OpenPorchSF_3","Fence_3","MoSold_3","LotFrontage_log","LotArea_log","OverallQual_log","OverallCond_log","MasVnrArea_log","ExterCond_log","BsmtQual_log","BsmtExposure_log","BsmtFinType1_log","BsmtFinSF1_log","BsmtUnfSF_log","TotalBsmtSF_log","HeatingQC_log","Electrical_log","X1stFlrSF_log","X2ndFlrSF_log","GrLivArea_log","BedroomAbvGr_log","TotRmsAbvGrd_log","FireplaceQu_log","GarageArea_log","GarageQual_log","GarageCond_log","WoodDeckSF_log","OpenPorchSF_log","Fence_log","MoSold_log","MSSubClass_20","MSSubClass_60","MSSubClass_50","MSSubClass_120","MSZoning_RL","MSZoning_RM","Alley_NoAcc","LandContour_Lvl","LotConfig_Inside","LotConfig_Corner","LotConfig_CulDSac","Neighborhood_NAmes","Neighborhood_CollgCr","Neighborhood_OldTown","Neighborhood_Edwards","Neighborhood_Somerst","Neighborhood_Gilbert","Neighborhood_NridgHt","Neighborhood_Sawyer","Neighborhood_NWAmes","Condition1_Norm","Condition1_Feedr","BldgType_1Fam","BldgType_TwnhsE","HouseStyle_1Story","HouseStyle_2Story","HouseStyle_1.5Fin","RoofStyle_Gable","RoofStyle_Hip","Exterior1st_VinylSd","Exterior1st_HdBoard","Exterior1st_MetalSd","Exterior1st_Wd.Sdng","Exterior1st_Plywood","Exterior2nd_VinylSd","Exterior2nd_MetalSd","Exterior2nd_HdBoard","Exterior2nd_Wd.Sdng","Exterior2nd_Plywood","MasVnrType_None","MasVnrType_BrkFace","MasVnrType_Stone","Foundation_PConc","Foundation_CBlock","Foundation_BrkTil","CentralAir_Y","GarageType_Attchd","GarageType_Detchd","GarageType_BuiltIn","SaleType_WD","SaleType_New","SaleCondition_Normal","SaleCondition_Partial","SaleCondition_Abnorml","LotFrontage_missing_No"
1,65,8450,1,7,5,2003,2003,196,2,3,2,4,1,706,150,1,1,856,854,1,0,2,1,3,2,8,0,6,2,2,548,3,3,1,0,61,4,2,2008,208500,4225,71402500,1,49,25,4012009,4012009,38416,4,9,4,16,1,498436,22500,732736,1,1,732736,729316,2924100,1,0,4,1,9,4,64,0,36,4,4,300304,9,9,1,0,3721,16,4,4032064,274625,603351125000,1,343,125,8036054027,8036054027,7529536,8,27,8,64,1,351895816,3375000,627222016,1,1,627222016,622835864,5000211000,1,8,27,8,512,0,216,8,8,164566592,27,27,0,226981,64,8,4.18965474202643,9.04204005654448,2.07944154167984,1.79175946922805,5.28320372873799,1.38629436111989,1.09861228866811,1.6094379124341,0.693147180559945,6.56103066589657,5.01727983681492,6.75343791859778,0.693147180559945,0.693147180559945,6.75343791859778,6.75110146893676,7.44483327389219,1.38629436111989,2.19722457733622,1.94591014905531,6.30809844150953,1.38629436111989,1.38629436111989,0,4.12713438504509,1.6094379124341,1.09861228866811,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
2,80,9600,1,6,8,1976,1976,0,3,3,2,1,2,978,284,1,1,1262,0,0,1,2,0,3,3,6,1,3,2,2,460,3,3,1,298,0,4,5,2007,181500,6400,92160000,1,36,64,3904576,3904576,0,9,9,4,1,4,956484,80656,1592644,1,1,1592644,0,1592644,0,1,4,0,9,9,36,1,9,4,4,211600,9,9,1,88804,0,16,25,4028049,512000,8.84736e+11,1,216,512,7715442176,7715442176,0,27,27,8,1,8,935441352,22906304,2009916728,1,1,2009916728,0,2009916728,0,8,27,27,216,1,27,8,8,97336000,27,27,26463592,0,64,125,4.39444915467244,9.16962253869762,1.94591014905531,2.19722457733622,0,1.38629436111989,1.09861228866811,0.693147180559945,1.09861228866811,6.88653164253051,5.65248918026865,7.14124512235049,0.693147180559945,0.693147180559945,7.14124512235049,0,7.14124512235049,1.38629436111989,1.94591014905531,1.38629436111989,6.13339804299665,1.38629436111989,1.38629436111989,5.70044357339069,0,1.6094379124341,1.79175946922805,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1
3,68,11250,2,7,5,2001,2002,162,2,3,2,3,1,486,434,1,1,920,866,1,0,2,1,3,2,6,1,3,2,2,608,3,3,1,0,42,4,9,2008,223500,4624,126562500,4,49,25,4004001,4008004,26244,4,9,4,9,1,236196,188356,846400,1,1,846400,749956,3189796,1,0,4,1,9,4,36,1,9,4,4,369664,9,9,1,0,1764,16,81,4032064,314432,1423828125000,8,343,125,8012006001,8024024008,4251528,8,27,8,27,1,114791256,81746504,778688000,1,1,778688000,649461896,5696975656,1,8,27,8,216,1,27,8,8,224755712,27,27,0,74088,64,729,4.23410650459726,9.32821229257107,2.07944154167984,1.79175946922805,5.09375020080676,1.38629436111989,1.09861228866811,1.38629436111989,0.693147180559945,6.18826412308259,6.07534603108868,6.82546003625531,0.693147180559945,0.693147180559945,6.82546003625531,6.76503897678054,7.48829351515943,1.38629436111989,1.94591014905531,1.38629436111989,6.4118182677099,1.38629436111989,1.38629436111989,0,3.76120011569356,1.6094379124341,2.30258509299405,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
4,60,9550,2,7,5,1915,1970,0,3,3,3,4,2,216,540,2,1,961,756,1,0,1,0,3,2,7,1,2,3,3,642,3,3,1,0,35,4,2,2006,140000,3600,91202500,4,49,25,3667225,3880900,0,9,9,9,16,4,46656,291600,571536,4,1,923521,571536,2948089,1,0,1,0,9,4,49,1,4,9,9,412164,9,9,1,0,1225,16,4,4024036,216000,870983875000,8,343,125,7022735875,7645373000,0,27,27,27,64,8,10077696,157464000,432081216,8,1,887503681,432081216,5061868813,1,1,27,8,343,1,8,27,27,264609288,27,27,0,42875,64,8,4.11087386417331,9.16440114003474,2.07944154167984,1.79175946922805,0,1.38629436111989,1.38629436111989,1.6094379124341,1.09861228866811,5.37989735354046,6.29341927884648,6.62936325343745,1.09861228866811,0.693147180559945,6.86901445066571,6.62936325343745,7.4489161025442,1.38629436111989,2.07944154167984,1.09861228866811,6.46614472423762,1.38629436111989,1.38629436111989,0,3.58351893845611,1.6094379124341,1.09861228866811,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1
5,84,14260,2,8,5,2000,2000,350,2,3,2,2,1,655,490,1,1,1145,1053,1,0,2,1,4,2,9,1,3,2,3,836,3,3,1,192,84,4,12,2008,250000,7056,203347600,4,64,25,4e+06,4e+06,122500,4,9,4,4,1,429025,240100,1311025,1,1,1311025,1108809,4831204,1,0,4,1,16,4,81,1,9,4,9,698896,9,9,1,36864,7056,16,144,4032064,592704,2899736776000,8,512,125,8e+09,8e+09,42875000,8,27,8,8,1,281011375,117649000,1501123625,1,1,1501123625,1167575877,10618986392,1,8,64,8,729,1,27,8,27,584277056,27,27,7077888,592704,64,1728,4.44265125649032,9.56528381773677,2.19722457733622,1.79175946922805,5.86078622346587,1.38629436111989,1.09861228866811,1.09861228866811,0.693147180559945,6.48616078894409,6.19644412779452,7.04403289727469,0.693147180559945,0.693147180559945,7.04403289727469,6.96034772910131,7.69575799055476,1.6094379124341,2.30258509299405,1.38629436111989,6.72982407048948,1.38629436111989,1.38629436111989,5.26269018890489,4.44265125649032,1.6094379124341,2.56494935746154,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
6,85,14115,2,5,5,1993,1995,0,3,3,2,4,1,732,64,1,1,796,566,1,0,1,1,1,3,5,0,6,3,2,480,3,3,1,40,30,2,10,2009,143000,7225,199233225,4,25,25,3972049,3980025,0,9,9,4,16,1,535824,4096,633616,1,1,633616,320356,1855044,1,0,1,1,1,9,25,0,36,9,4,230400,9,9,1,1600,900,4,100,4036081,614125,2812176970875,8,125,125,7916293657,7940149875,0,27,27,8,64,1,392223168,262144,504358336,1,1,504358336,181321496,2526569928,1,1,1,27,125,0,216,27,8,110592000,27,27,64000,27000,8,1000,4.45434729625351,9.55506418479516,1.79175946922805,1.79175946922805,0,1.38629436111989,1.09861228866811,1.6094379124341,0.693147180559945,6.59714570188665,4.17438726989564,6.68085467879022,0.693147180559945,0.693147180559945,6.68085467879022,6.34035930372775,7.21744343169653,0.693147180559945,1.79175946922805,1.94591014905531,6.17586727010576,1.38629436111989,1.38629436111989,3.71357206670431,3.43398720448515,1.09861228866811,2.39789527279837,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
7,75,10084,1,8,5,2004,2005,186,2,3,1,2,1,1369,317,1,1,1694,0,1,0,2,0,3,2,7,1,2,2,2,636,3,3,1,255,57,4,8,2007,307000,5625,101687056,1,64,25,4016016,4020025,34596,4,9,1,4,1,1874161,100489,2842596,1,1,2869636,0,2869636,1,0,4,0,9,4,49,1,4,4,4,404496,9,9,1,65025,3249,16,64,4028049,421875,1025412272704,1,512,125,8048096064,8060150125,6434856,8,27,1,8,1,2565726409,31855013,4792616856,1,1,4861163384,0,4861163384,1,8,27,8,343,1,8,8,8,257259456,27,27,16581375,185193,64,512,4.33073334028633,9.21880445038831,2.19722457733622,1.79175946922805,5.23110861685459,1.38629436111989,0.693147180559945,1.09861228866811,0.693147180559945,7.22256601882217,5.76205138278018,7.43070708254597,0.693147180559945,0.693147180559945,7.43543801981455,0,7.43543801981455,1.38629436111989,2.07944154167984,1.09861228866811,6.45676965557216,1.38629436111989,1.38629436111989,5.54517744447956,4.06044301054642,1.6094379124341,2.19722457733622,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1
8,70.0475,10382,2,7,6,1973,1973,240,3,3,2,3,2,859,216,1,1,1107,983,1,0,2,1,3,3,7,2,3,2,2,484,3,3,1,235,204,4,11,2009,200000,4906.65225625,107785924,4,49,36,3892729,3892729,57600,9,9,4,9,4,737881,46656,1225449,1,1,1225449,966289,4368100,1,0,4,1,9,9,49,4,9,4,4,234256,9,9,1,55225,41616,16,121,4036081,343698.723919672,1119033462968,8,343,216,7680354317,7680354317,13824000,27,27,8,27,8,633839779,10077696,1356572043,1,1,1356572043,949862087,9129329000,1,8,27,27,343,8,27,8,8,113379904,27,27,12977875,8489664,64,1331,4.26334866743566,9.24792513230345,2.07944154167984,1.94591014905531,5.48479693349065,1.38629436111989,1.09861228866811,1.38629436111989,1.09861228866811,6.75693238924755,5.37989735354046,7.01031186730723,0.693147180559945,0.693147180559945,7.01031186730723,6.89162589705225,7.64539769942863,1.38629436111989,2.07944154167984,1.38629436111989,6.18414889093748,1.38629436111989,1.38629436111989,5.46383180502561,5.32300997913841,1.6094379124341,2.484906649788,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
9,51,6120,1,7,5,1931,1950,0,3,3,3,4,6,0,952,2,3,1022,752,0,0,2,0,2,3,8,2,3,3,2,468,4,3,1,90,0,4,4,2008,129900,2601,37454400,1,49,25,3728761,3802500,0,9,9,9,16,36,0,906304,906304,4,9,1044484,565504,3147076,0,0,4,0,4,9,64,4,9,9,4,219024,16,9,1,8100,0,16,16,4032064,132651,229220928000,1,343,125,7200237491,7414875000,0,27,27,27,64,216,0,862801408,862801408,8,27,1067462648,425259008,5582912824,0,8,8,27,512,8,27,27,8,102503232,64,27,729000,0,64,64,3.95124371858143,8.71948076085107,2.07944154167984,1.79175946922805,0,1.38629436111989,1.38629436111989,1.6094379124341,1.94591014905531,0,6.8596149036542,6.8596149036542,1.09861228866811,1.38629436111989,6.93049476595163,6.62406522779989,7.48155570190952,1.09861228866811,2.19722457733622,1.38629436111989,6.15060276844628,1.6094379124341,1.38629436111989,4.51085950651685,0,1.6094379124341,1.6094379124341,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1
10,50,7420,1,5,6,1939,1950,0,3,3,3,4,1,851,140,1,1,1077,0,1,0,1,0,2,3,5,2,3,2,1,205,2,3,1,0,4,4,1,2008,118000,2500,55056400,1,25,36,3759721,3802500,0,9,9,9,16,1,724201,19600,982081,1,1,1159929,0,1159929,1,0,1,0,4,9,25,4,9,4,1,42025,4,9,1,0,16,16,1,4032064,125000,408518488000,1,125,216,7290099019,7414875000,0,27,27,27,64,1,616295051,2744000,973242271,1,1,1249243533,0,1249243533,1,1,8,27,125,8,27,8,1,8615125,8,27,0,64,64,1,3.93182563272433,8.91206909797013,1.79175946922805,1.94591014905531,0,1.38629436111989,1.38629436111989,1.6094379124341,0.693147180559945,6.74758652682932,4.94875989037817,6.89972310728487,0.693147180559945,0.693147180559945,6.98286275146894,0,6.98286275146894,1.09861228866811,1.79175946922805,1.38629436111989,5.32787616878958,1.09861228866811,1.38629436111989,0,1.6094379124341,1.6094379124341,0.693147180559945,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1
